3,3
3,4
3,5
3,7
3,8
3,17
3,20
3,47
3,48
3,98
4,3
4,4
4,5
4,7
4,8
4,17
4,20
4,47
4,48
4,98
5,3
5,4
5,5
5,7
5,8
5,17
5,20
5,47
5,48
5,98
7,3
7,4
7,5
7,7
7,8
7,17
7,20
7,47
7,48
7,98
8,3
8,4
8,5
8,7
8,8
8,17
8,20
8,47
8,48
8,98
17,3
17,4
17,5
17,7
17,8
17,17
17,20
17,47
17,48
17,98
20,3
20,4
20,5
20,7
20,8
20,17
20,20
20,47
20,48
20,98
47,3
47,4
47,5
47,7
47,8
47,17
47,20
47,47
47,48
47,98
48,3
48,4
48,5
48,7
48,8
48,17
48,20
48,47
48,48
48,98
98,3
98,4
98,5
98,7
98,8
98,17
98,20
98,47
98,48
98,98
11,11
11,25
11,26
11,30
11,45
11,50
11,60
11,119
11,122
11,143
25,11
25,25
25,26
25,30
25,45
25,50
25,60
25,119
25,122
25,143
26,11
26,25
26,26
26,30
26,45
26,50
26,60
26,119
26,122
26,143
30,11
30,25
30,26
30,30
30,45
30,50
30,60
30,119
30,122
30,143
45,11
45,25
45,26
45,30
45,45
45,50
45,60
45,119
45,122
45,143
50,11
50,25
50,26
50,30
50,45
50,50
50,60
50,119
50,122
50,143
60,11
60,25
60,26
60,30
60,45
60,50
60,60
60,119
60,122
60,143
119,11
119,25
119,26
119,30
119,45
119,50
119,60
119,119
119,122
119,143
122,11
122,25
122,26
122,30
122,45
122,50
122,60
122,119
122,122
122,143
143,11
143,25
143,26
143,30
143,45
143,50
143,60
143,119
143,122
143,143
6,6
6,23
6,24
6,31
6,51
6,54
6,80
6,100
6,139
6,140
23,6
23,23
23,24
23,31
23,51
23,54
23,80
23,100
23,139
23,140
24,6
24,23
24,24
24,31
24,51
24,54
24,80
24,100
24,139
24,140
31,6
31,23
31,24
31,31
31,51
31,54
31,80
31,100
31,139
31,140
51,6
51,23
51,24
51,31
51,51
51,54
51,80
51,100
51,139
51,140
54,6
54,23
54,24
54,31
54,51
54,54
54,80
54,100
54,139
54,140
80,6
80,23
80,24
80,31
80,51
80,54
80,80
80,100
80,139
80,140
100,6
100,23
100,24
100,31
100,51
100,54
100,80
100,100
100,139
100,140
139,6
139,23
139,24
139,31
139,51
139,54
139,80
139,100
139,139
139,140
140,6
140,23
140,24
140,31
140,51
140,54
140,80
140,100
140,139
140,140
0,0
0,4
0,7
0,8
0,17
0,29
0,47
0,48
0,88
0,98
4,0
4,4
4,7
4,8
4,17
4,29
4,47
4,48
4,88
4,98
7,0
7,4
7,7
7,8
7,17
7,29
7,47
7,48
7,88
7,98
8,0
8,4
8,7
8,8
8,17
8,29
8,47
8,48
8,88
8,98
17,0
17,4
17,7
17,8
17,17
17,29
17,47
17,48
17,88
17,98
29,0
29,4
29,7
29,8
29,17
29,29
29,47
29,48
29,88
29,98
47,0
47,4
47,7
47,8
47,17
47,29
47,47
47,48
47,88
47,98
48,0
48,4
48,7
48,8
48,17
48,29
48,47
48,48
48,88
48,98
88,0
88,4
88,7
88,8
88,17
88,29
88,47
88,48
88,88
88,98
98,0
98,4
98,7
98,8
98,17
98,29
98,47
98,48
98,88
98,98
0,0
0,3
0,7
0,17
0,20
0,29
0,42
0,46
0,47
0,78
3,0
3,3
3,7
3,17
3,20
3,29
3,42
3,46
3,47
3,78
7,0
7,3
7,7
7,17
7,20
7,29
7,42
7,46
7,47
7,78
17,0
17,3
17,7
17,17
17,20
17,29
17,42
17,46
17,47
17,78
20,0
20,3
20,7
20,17
20,20
20,29
20,42
20,46
20,47
20,78
29,0
29,3
29,7
29,17
29,20
29,29
29,42
29,46
29,47
29,78
42,0
42,3
42,7
42,17
42,20
42,29
42,42
42,46
42,47
42,78
46,0
46,3
46,7
46,17
46,20
46,29
46,42
46,46
46,47
46,78
47,0
47,3
47,7
47,17
47,20
47,29
47,42
47,46
47,47
47,78
78,0
78,3
78,7
78,17
78,20
78,29
78,42
78,46
78,47
78,78
0,0
0,3
0,8
0,9
0,16
0,33
0,44
0,49
0,110
0,127
3,0
3,3
3,8
3,9
3,16
3,33
3,44
3,49
3,110
3,127
8,0
8,3
8,8
8,9
8,16
8,33
8,44
8,49
8,110
8,127
9,0
9,3
9,8
9,9
9,16
9,33
9,44
9,49
9,110
9,127
16,0
16,3
16,8
16,9
16,16
16,33
16,44
16,49
16,110
16,127
33,0
33,3
33,8
33,9
33,16
33,33
33,44
33,49
33,110
33,127
44,0
44,3
44,8
44,9
44,16
44,33
44,44
44,49
44,110
44,127
49,0
49,3
49,8
49,9
49,16
49,33
49,44
49,49
49,110
49,127
110,0
110,3
110,8
110,9
110,16
110,33
110,44
110,49
110,110
110,127
127,0
127,3
127,8
127,9
127,16
127,33
127,44
127,49
127,110
127,127
2,2
2,23
2,24
2,35
2,41
2,54
2,80
2,100
2,139
2,140
23,2
23,23
23,24
23,35
23,41
23,54
23,80
23,100
23,139
23,140
24,2
24,23
24,24
24,35
24,41
24,54
24,80
24,100
24,139
24,140
35,2
35,23
35,24
35,35
35,41
35,54
35,80
35,100
35,139
35,140
41,2
41,23
41,24
41,35
41,41
41,54
41,80
41,100
41,139
41,140
54,2
54,23
54,24
54,35
54,41
54,54
54,80
54,100
54,139
54,140
80,2
80,23
80,24
80,35
80,41
80,54
80,80
80,100
80,139
80,140
100,2
100,23
100,24
100,35
100,41
100,54
100,80
100,100
100,139
100,140
139,2
139,23
139,24
139,35
139,41
139,54
139,80
139,100
139,139
139,140
140,2
140,23
140,24
140,35
140,41
140,54
140,80
140,100
140,139
140,140
0,0
0,3
0,4
0,17
0,29
0,42
0,47
0,48
0,88
0,98
3,0
3,3
3,4
3,17
3,29
3,42
3,47
3,48
3,88
3,98
4,0
4,3
4,4
4,17
4,29
4,42
4,47
4,48
4,88
4,98
17,0
17,3
17,4
17,17
17,29
17,42
17,47
17,48
17,88
